subscription ID	Plan	Product	Interval	Amount	Status
sub_1P8WHNI9Qa85Sr7CdLDgw3Ym	price_1P8WDTI9Qa85Sr7CVWDyFhns	Chat Enterprise : Annually	year	173000	active
sub_1PLa9wI9Qa85Sr7CDc8qH3Xw	price_1PtxiDI9Qa85Sr7CVjHq4wZi	Chat Enterprise : Annually	year	172800	active
sub_1PB9jVI9Qa85Sr7CvJhvrvJE	price_1PtjXJI9Qa85Sr7CKsAUx2Cp	Chat Enterprise : Quarterly	month	153000	active
sub_1Pis5RI9Qa85Sr7Cl4etkDH1	price_1PXq5wI9Qa85Sr7CG11I8Qfj	Chat Enterprise : Annually	year	135000	active
sub_1PF1J6I9Qa85Sr7COkfYkawl	price_1PF18ZI9Qa85Sr7CHT0iCKgn	Chat Enterprise :  36 Months	month	132000	active
sub_1Pis5QI9Qa85Sr7Cd0VwWmjf	price_1PXoURI9Qa85Sr7CVQJ4bgDB	Chat Enterprise : Annually	year	129600	active
sub_1PEdB1I9Qa85Sr7ChBLrGGGh	price_1PEd46I9Qa85Sr7Cv0gBKDZC	Chat Enterprise : Semi-Annually	month	108000	active
sub_1PnaG3I9Qa85Sr7CxEPBuL1I	price_1PWmvRI9Qa85Sr7CcUGBG0zI	Chat Enterprise : Annually	year	87000	active
sub_1PK8g6I9Qa85Sr7CeSdWH0lx	price_1PK8acI9Qa85Sr7CnubhN0wW	Chat Enterprise : Annually	year	81000	active
sub_1PF1J6I9Qa85Sr7COkfYkawl	price_1PF1BbI9Qa85Sr7CX3f4wZAi	Chat Enterprise - Support : 36 Months	month	72000	active
sub_1PC4FGI9Qa85Sr7CrjqljL7W	price_1PC4DsI9Qa85Sr7Ceoa5r5ZE	Feeds Enterprise : Annually	year	70000	trialing
sub_1Pchx7I9Qa85Sr7CvrNExljU	price_1P1tqSI9Qa85Sr7CaVk5HICc	Video Enterprise : Quarterly	month	68400	past_due
sub_1PKBvmI9Qa85Sr7CGIuRZBZ3	price_1PKBtnI9Qa85Sr7CUPIhykMU	Chat Enterprise : Annually	year	59400	active
sub_1PlxC7I9Qa85Sr7CuHxXVgVs	price_1Plx3CI9Qa85Sr7CJx2k0Dj3	Feeds Enterprise : Annually	year	56400	active
sub_1OTzcOI9Qa85Sr7ChouE9rKV	price_1NxyBfI9Qa85Sr7CcLu7GX2u	Auto Mod Enterprise : Annually	year	54825	active
sub_1Pis5RI9Qa85Sr7Cl4etkDH1	price_1Ksxr4I9Qa85Sr7Clft6kK3I	Chat Enterprise - Support : Annually	year	48000	active
sub_1PXwMGI9Qa85Sr7CksCc80HQ	price_1PXwBqI9Qa85Sr7CeuKzLdm2	Enterprise - Support : Annually	year	48000	active
sub_1PKBvmI9Qa85Sr7CGIuRZBZ3	price_1Ksxr4I9Qa85Sr7Clft6kK3I	Chat Enterprise - Support : Annually	year	48000	active
sub_1PK8g6I9Qa85Sr7CeSdWH0lx	price_1PK8dPI9Qa85Sr7CEkHWe0yI	Video Enterprise - Support : Annually	year	48000	active
sub_1P8WHNI9Qa85Sr7CdLDgw3Ym	price_1Ksxr4I9Qa85Sr7Clft6kK3I	Chat Enterprise - Support : Annually	year	48000	active
sub_1OrsS7I9Qa85Sr7Cr95KLMRI	price_1OrsIcI9Qa85Sr7CzFkhMXIe	Chat Enterprise - Support : Annually	year	48000	active
sub_1OpQ5BI9Qa85Sr7CNMWJhsP9	price_1Ksxr4I9Qa85Sr7Clft6kK3I	Chat Enterprise - Support : Annually	year	48000	active
sub_1PlxC7I9Qa85Sr7CuHxXVgVs	price_1Plx3fI9Qa85Sr7CjvwnGMSf	Feeds Enterprise - Support : Annually	year	44200	active
sub_1PXwMGI9Qa85Sr7CksCc80HQ	price_1NGCbtI9Qa85Sr7CX14nkZI8	Chat Enterprise : Annually	year	43200	active
sub_1PXGoOI9Qa85Sr7Czu29Yw7d	price_1P0nkdI9Qa85Sr7CxBUqRp5t	Feeds Enterprise : Annually	year	43200	active
sub_1PXGoOI9Qa85Sr7Czu29Yw7d	price_1NGCbtI9Qa85Sr7CX14nkZI8	Chat Enterprise : Annually	year	43200	active
sub_1PXwMGI9Qa85Sr7CksCc80HQ	price_1PXw9jI9Qa85Sr7Cbu8eFCxB	Feeds Enterprise : Annually	year	41040	active
sub_1P0WMnI9Qa85Sr7Cqspr4OKw	price_1P0W7XI9Qa85Sr7Cifthb3yx	Chat Enterprise : Quarterly	month	40500	active
sub_1PMkzXI9Qa85Sr7CYSs5l8cE	price_1PMajtI9Qa85Sr7C7Kn8iBuR	Chat Enterprise : Semi-Annually	month	30000	active
sub_1OzM5cI9Qa85Sr7CrRkP90fd	price_1Nxx6YI9Qa85Sr7CVoojbuw9	Chat Elevate : 50k MAU	year	27588	active
sub_1OrsS7I9Qa85Sr7Cr95KLMRI	price_1OrsHAI9Qa85Sr7CBqiFdQkF	Chat Elevate : 50k MAU	year	27588	active
sub_1OpQ5BI9Qa85Sr7CNMWJhsP9	price_1Nxx6YI9Qa85Sr7CVoojbuw9	Chat Elevate : 50k MAU	year	27588	active
sub_1OmVZeI9Qa85Sr7CIPa2MouY	price_1Nxx6YI9Qa85Sr7CVoojbuw9	Chat Elevate : 50k MAU	year	27588	active
sub_1PnaG3I9Qa85Sr7CxEPBuL1I	plan_HEQRhMxjAXusfi	Chat Enterprise - Support : Annually	year	24000	active
sub_1Pis5QI9Qa85Sr7Cd0VwWmjf	plan_HEQRhMxjAXusfi	Chat Enterprise - Support : Annually	year	24000	active
sub_1Pu6pzI9Qa85Sr7COQbes6m6	price_1PXwYDI9Qa85Sr7CTtEwF5IR	Chat Enterprise - Shared Shard : Quarterly	month	15000	past_due
sub_1PXwMGI9Qa85Sr7CksCc80HQ	price_1PXwCUI9Qa85Sr7CPApAyiME	Enterprise - AI Moderation : Annually	year	15000	active
sub_1PMdEZI9Qa85Sr7CXdYbvG11	price_1PMdCoI9Qa85Sr7CamVfnP1G	Chat Enterprise : Quarterly	month	14500	past_due
sub_1PK8g6I9Qa85Sr7CeSdWH0lx	price_1PK8cyI9Qa85Sr7CerJuqHQw	Video Enterprise : Annually	year	14400	active
sub_1PrZVwI9Qa85Sr7CzcjRljhC	price_1PXqUrI9Qa85Sr7CAmYUW9R7	Video Enterprise : Quarterly	month	13500	past_due
sub_1PBmluI9Qa85Sr7CIKacWFTV	price_1ONrHKI9Qa85Sr7CVDYrGdHR	Chat Enterprise : Quarterly	month	13500	past_due
sub_1OpE8PI9Qa85Sr7Ccru5jF1z	price_1OpE4MI9Qa85Sr7Cj6rihyvg	Video Enterprise : Quarterly	month	13140	active
sub_1PgKjPI9Qa85Sr7CWzrBLo5I	price_1PWk3kI9Qa85Sr7CGvAnqNd5	Chat - Support : Annually	year	12000	active
sub_1PEdB1I9Qa85Sr7ChBLrGGGh	price_1MrulKI9Qa85Sr7CvPgS2gFD	Chat Enterprise - Support : Semi-Annually	month	12000	active
sub_1P0WMnI9Qa85Sr7Cqspr4OKw	price_1MA4OXI9Qa85Sr7C7izsGRTv	Chat Enterprise - Support : Quarterly	month	12000	active
sub_1OTfU6I9Qa85Sr7CP4LwhwTU	price_1HwD2YI9Qa85Sr7CKVEgF1GX	Feeds Enterprise : Semi-Annually	month	12000	active
sub_1Pu6q3I9Qa85Sr7C0J5YK5Yy	price_1N1limI9Qa85Sr7Ctpo4khmA	Chat Enterprise : Quarterly	month	10800	past_due
sub_1Pu6pzI9Qa85Sr7COQbes6m6	price_1N1limI9Qa85Sr7Ctpo4khmA	Chat Enterprise : Quarterly	month	10800	past_due
sub_1PN2ItI9Qa85Sr7CS3y1EObv	price_1N1limI9Qa85Sr7Ctpo4khmA	Chat Enterprise : Quarterly	month	10800	past_due
sub_1PLZITI9Qa85Sr7Cfyexszn5	price_1N1limI9Qa85Sr7Ctpo4khmA	Chat Enterprise : Quarterly	month	10800	active
sub_1PB9jUI9Qa85Sr7CUkoelBoq	price_1P05POI9Qa85Sr7CGBhLMMxi	Feeds Enterprise : Semi-Annually	month	10800	active
sub_1OTfU4I9Qa85Sr7CedJcpytY	price_1N1limI9Qa85Sr7Ctpo4khmA	Chat Enterprise : Quarterly	month	10800	past_due
sub_1OTvzsI9Qa85Sr7CvOMl3lHv	price_1KsJYjI9Qa85Sr7CDICqFJ7m	Feeds Enterprise : Quarterly	month	9000	active
sub_1OTv9OI9Qa85Sr7CUbkfJdoe	price_1KsJYjI9Qa85Sr7CDICqFJ7m	Feeds Enterprise : Quarterly	month	9000	active
sub_1P0WMnI9Qa85Sr7Cqspr4OKw	price_1P0WCPI9Qa85Sr7CCgz836Rw	Chat Enterprise - AI Moderation : Quarterly	month	7500	active
sub_1PspGeI9Qa85Sr7CObeZ6gPo	price_1Nxx3xI9Qa85Sr7C7iZV6Q40	Chat Elevate : 10k MAU	year	7188	past_due
sub_1PpiXlI9Qa85Sr7CrjPnukrB	price_1Nxx3xI9Qa85Sr7C7iZV6Q40	Chat Elevate : 10k MAU	year	7188	active
sub_1Pj28pI9Qa85Sr7CyoyXFEt6	price_1Nxx3xI9Qa85Sr7C7iZV6Q40	Chat Elevate : 10k MAU	year	7188	active
