Date (UTC)	Transaction ID	Customer ID	Subscription ID	Total	Currency
1/1/24 7:00	in_1OTfU6I9Qa85Sr7CGQ6TDv2n	cus_OBesGJoL66dbm3	sub_1OTfU6I9Qa85Sr7CP4LwhwTU	9600	usd
1/1/24 7:00	in_1OTfU5I9Qa85Sr7CrvBc1sQ2	cus_Nm43kMFB3Wq4Wm	sub_1OTfU4I9Qa85Sr7CedJcpytY	10800	usd
1/1/24 7:02	in_1OTfW8I9Qa85Sr7CjWKD9Yk9	cus_N5ChLy4QuJeC1J	sub_1MLLX1I9Qa85Sr7CcMalgONZ	750	usd
1/1/24 7:03	in_1OTfWkI9Qa85Sr7CaGFyyM4z	cus_ICPRyTmKMmJjxX	sub_ICPRmxFh21Xq1y	24000	usd
1/1/24 7:06	in_1OTfZUI9Qa85Sr7CSLLyIiHR	cus_MoAe2aLcHbdyJT	sub_1MLLWzI9Qa85Sr7CCEB9FlIS	249	usd
1/1/24 7:18	in_1OTflDI9Qa85Sr7C9S7R0dKW	cus_LQNqCDspKBY6TR	sub_1KjX7yI9Qa85Sr7CdTG78Acf	15000	usd
1/1/24 7:52	in_1OTgIxI9Qa85Sr7Cck25OFAk	cus_O06VSg7jjpMZTw	sub_1NE6IgI9Qa85Sr7C6ysMwbWl	499	usd
1/1/24 8:43	in_1OTh5XI9Qa85Sr7CU9q21k3h	cus_JaNygDTQ8gkf8o	sub_JaeU7ZagNvBFYr	499	usd
1/1/24 8:48	in_1OThAaI9Qa85Sr7CuK0ToHjb	cus_I7ch7KjYJh1YIp	sub_I7chwX4iffj70J	59	usd
1/1/24 9:11	in_1OThXLI9Qa85Sr7Cc8C4lzQV	cus_JDUj3iPRBm4gin	sub_JDoBkypfs8qnqz	1299	usd
1/1/24 9:16	in_1OThc1I9Qa85Sr7C2qhilkHY	cus_JDUj3iPRBm4gin	sub_JDoFya1Qf6ePf0	269	usd
1/1/24 10:02	in_1OTiKFI9Qa85Sr7CRWi9oYc9	cus_H15ZBUy0ZzYhIg	sub_H15Zjj1XrOE7Vt	59	usd
1/1/24 10:05	in_1OTiNTI9Qa85Sr7CctNNrwQD	cus_MgBwkIZbTxopPl	sub_1LzHL0I9Qa85Sr7CzOX4T0wN	499	usd
1/1/24 10:31	in_1OTilwI9Qa85Sr7CwxH07EPx	cus_5JEAg0FudRjdZj	sub_1MAA2HI9Qa85Sr7Cn7Tb5YcR	899	usd
1/1/24 11:06	in_1OTjJsI9Qa85Sr7CsnZ8y2Yk	cus_KBjQOPdVFcrD4x	sub_1JqyK5I9Qa85Sr7Chr6mhvmI	499	usd
1/1/24 11:17	in_1OTjUUI9Qa85Sr7CecYFKkfa	cus_K8SyvyDNjYsi92	sub_1NlVL7I9Qa85Sr7CjcDCtvym	1299	usd
1/1/24 11:28	in_1OTjfVI9Qa85Sr7CI0AldfVV	cus_LCuHXQFfpckOfw	sub_1KYTsEI9Qa85Sr7CVEwOhrHM	499	usd
1/1/24 13:48	in_1OTlrQI9Qa85Sr7CnBNvy5eN	cus_MLvaup2SoWf05r	sub_1LdDktI9Qa85Sr7CMOWXnkpj	499	usd
1/1/24 14:04	in_1OTm6uI9Qa85Sr7CfzSB07J8	cus_LF0JSJzc7yHHL8	sub_1KYWJiI9Qa85Sr7Czl2T8HhK	499	usd
1/1/24 14:55	in_1OTmuHI9Qa85Sr7C9d6YAlK7	cus_AVclpmVK5yqOnC	sub_Brzu1KAHeEHcUT	3000	usd
1/1/24 14:59	in_1OTmxoI9Qa85Sr7CCEArc26i	cus_I7igV9EgYMzQkU	sub_I7igR2XYoHXI8J	269	usd
1/1/24 15:12	in_1OTn9wI9Qa85Sr7CHddvHzaP	cus_HZG736LA7AvfQK	sub_HZG7OF0xFdqayP	59	usd
1/1/24 15:49	in_1OTnjxI9Qa85Sr7C8zwsRqbL	cus_NHGqE8YhaqhL9u	sub_1MWiYRI9Qa85Sr7CTQQbAwTc	499	usd
1/1/24 16:07	in_1OTo1MI9Qa85Sr7C6ym61qe1	cus_Jm0QlYpt5ao98Y	sub_Jm0QI52zo3JmhS	499	usd
1/1/24 16:34	in_1OToRUI9Qa85Sr7ChuBYy1EF	cus_MXD3JOth6Ovb8r	sub_1Lo8dmI9Qa85Sr7CcfKU7f42	499	usd
1/1/24 16:35	in_1OToSNI9Qa85Sr7CQcmSc0n2	cus_LQeiGHB8vG6dWT	sub_1KjnQVI9Qa85Sr7CtlJjoV5N	499	usd
1/1/24 16:51	in_1OTohcI9Qa85Sr7CqU0X7mOJ	cus_HwVfdM6Bw4KXJh	sub_HwViJU0kcPGnSA	499	usd
1/1/24 16:54	in_1OTolRI9Qa85Sr7CRcQHHZOq	cus_HwVlZg6tPXqDqX	sub_HwVmwXAd6ilglW	499	usd
1/1/24 17:02	in_1OTosbI9Qa85Sr7CsMBHtO5g	cus_Nod7QV5IiYXAkf	sub_1N306KI9Qa85Sr7CJhVTbb23	59	usd
1/1/24 17:04	in_1OToujI9Qa85Sr7CF3y2xCWP	cus_MBqIOzPfBP0vbG	sub_1LdGoMI9Qa85Sr7CPHTOJlwd	531.93	usd
1/1/24 17:11	in_1OTp1BI9Qa85Sr7CGmphHSjL	cus_KhKyfhgSBcALI5	sub_1K1wKLI9Qa85Sr7C1rHtGchW	499	usd
1/1/24 17:18	in_1OTp7tI9Qa85Sr7CUE7evbYh	cus_KOfYXMnb1ckcdY	sub_1JjsEmI9Qa85Sr7CxcmTzpxu	1299	usd
1/1/24 17:25	in_1OTpFCI9Qa85Sr7CRllYEYza	cus_Nodk5kCVuMxXdm	sub_1N30SyI9Qa85Sr7CVpCJlaKV	2299	usd
1/1/24 17:46	in_1OTpZMI9Qa85Sr7CvHxR4joV	cus_LylMjPRckc4vw2	sub_1LGnuSI9Qa85Sr7CVMnUxbss	499	usd
1/1/24 17:50	in_1OTpdGI9Qa85Sr7C5UFOKA1c	cus_IUcE86y9vCz8sf	sub_IUcEFa7mdfTo8o	499	usd
1/1/24 18:01	in_1OTpnXI9Qa85Sr7CL9NjCKZo	cus_MtlnHViOa2bIC2	sub_1M9yIHI9Qa85Sr7CQqLQEOeG	1150	usd
1/1/24 18:26	in_1OTqBhI9Qa85Sr7Csw2LiDgx	cus_OvaG32of050v7m	sub_1O7j7EI9Qa85Sr7Cs09DJQn5	499	usd
1/1/24 18:55	in_1OTqdzI9Qa85Sr7Csigq6Tjq	cus_K9ED6oqMmvYnsT	sub_K9H807uv0I2okX	499	usd
1/1/24 19:00	in_1OTqjKI9Qa85Sr7C8M1qBvgG	cus_HbEfkPV8JOKQyV	sub_Jlm7yJeahc7RYM	4000	usd
1/1/24 19:00	in_1OTqiwI9Qa85Sr7CPLhTm5oA	cus_OaC4l0k5E4VGWk	sub_1Nn5BiI9Qa85Sr7CJeiEts37	225000	usd
1/1/24 19:00	in_1OTqiuI9Qa85Sr7CICzRE3y2	cus_H7Ci6lJFxCbPFw	sub_IUfXTlUzZVVfp0	15588	usd
1/1/24 19:00	in_1OTqiuI9Qa85Sr7C1JDaqXjf	cus_Hoa5GD86GPuF4S	sub_Hoa5F6faF0dUxF	13500	usd
1/1/24 19:57	in_1OTrc9I9Qa85Sr7C4sPrMqx6	cus_JDtlS94U5GJ3Cb	sub_JDyau2ra55O6qY	499	usd
1/1/24 20:21	in_1OTryrI9Qa85Sr7CRxetkOXZ	cus_Ovc6EuyuW9kBm8	sub_1O7ktNI9Qa85Sr7CVZR6vH9t	59	usd
1/1/24 20:23	in_1OTs0rI9Qa85Sr7CeUZ8diYC	cus_ODLPWqdi3TVjJV	sub_1NldrdI9Qa85Sr7C0BfmRNxX	499	usd
1/1/24 20:56	in_1OTsXLI9Qa85Sr7CmRbqVMpL	cus_G6JnQEOQHtSSQC	sub_G6JnQxf8RUwzef	59	usd
1/1/24 21:09	in_1OTsjgI9Qa85Sr7CjEysUlHM	cus_JexF6DO1lngjXG	sub_1K202QI9Qa85Sr7CKRSPuYgA	499	usd
1/1/24 21:19	in_1OTstRI9Qa85Sr7CSr9U8Xdl	cus_IUfYGB6SS5B0wL	sub_IUfaMZ8SSXcPtd	250	usd
1/1/24 22:22	in_1OTtsFI9Qa85Sr7Cps02qO6v	cus_NmU1aGd6TtSpU2	sub_1N356hI9Qa85Sr7CBHUKzY20	2000	usd
